"Id","Name","ProductCode","Description","IsActive","Family","CurrencyIsoCode","ExternalDataSourceId","ExternalId","DisplayUrl","QuantityUnitOfMeasure","IsDeleted","IsArchived","StockKeepingUnit","SBQQ__AssetConversion__c","SBQQ__BatchQuantity__c","SBQQ__BlockPricingField__c","SBQQ__Component__c","SBQQ__CompoundDiscountRate__c","SBQQ__ConfigurationEvent__c","SBQQ__ConfigurationFieldSet__c","SBQQ__ConfigurationFields__c","SBQQ__ConfigurationFormTitle__c","SBQQ__ConfigurationType__c","SBQQ__ConfigurationValidator__c","SBQQ__ConfiguredCodePattern__c","SBQQ__ConfiguredDescriptionPattern__c","SBQQ__CostEditable__c","SBQQ__CostSchedule__c","SBQQ__CustomConfigurationPage__c","SBQQ__CustomConfigurationRequired__c","SBQQ__CustomerCommunityAvailability__c","SBQQ__DefaultPricingTable__c","SBQQ__DefaultQuantity__c","SBQQ__DescriptionLocked__c","SBQQ__DiscountCategory__c","SBQQ__DiscountSchedule__c","SBQQ__DynamicPricingConstraint__c","SBQQ__ExcludeFromMaintenance__c","SBQQ__ExcludeFromOpportunity__c","SBQQ__GenerateContractedPrice__c","SBQQ__HasConfigurationAttributes__c","SBQQ__Hidden__c","SBQQ__HidePriceInSearchResults__c","SBQQ__IncludeInMaintenance__c","SBQQ__NewQuoteGroup__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__OptionLayout__c","SBQQ__OptionSelectionMethod__c","SBQQ__Optional__c","SBQQ__PriceEditable__c","SBQQ__PricingMethodEditable__c","SBQQ__PricingMethod__c","SBQQ__ProductPictureID__c","SBQQ__QuantityEditable__c","SBQQ__QuantityScale__c","SBQQ__ReconfigurationDisabled__c","SBQQ__RenewalProduct__c","SBQQ__SortOrder__c","SBQQ__Specifications__c","SBQQ__SubscriptionBase__c","SBQQ__SubscriptionCategory__c","SBQQ__SubscriptionPercent__c","SBQQ__SubscriptionPricing__c","SBQQ__SubscriptionTarget__c","SBQQ__SubscriptionTerm__c","SBQQ__SubscriptionType__c","SBQQ__Taxable__c","SBQQ__TermDiscountLevel__c","SBQQ__TermDiscountSchedule__c","SBQQ__UpgradeCredit__c","SBQQ__UpgradeSource__c","SBQQ__UpgradeTarget__c","Product_Line__c","U_s_Occupied__c","Configuration__c","Custom_Product__c","SBQQ__AssetAmendmentBehavior__c","SBQQ__BillingFrequency__c","IsServer__c","IsCustomProduct__c","Product_Type__c","Business_Solution__c","Deployment_Options__c","SBQQ__BillingType__c","SBQQ__ChargeType__c","Server_Replacements__c","Commercial_Segment__c","SBQQ__ExternallyConfigurable__c","Help__c","Help_Text__c","help_link__c","Length__c","SBQQ__TaxCode__c","SBQQ__UpgradeRatio__c","Manager_Discount_Threshold__c","Finance_Discount_Threshold__c"
"01t1N00000EURKkQAP","Data Normalization Expert","SV-DNE","Data Normalization Experts engage early in the project and assist customers in normalizing, cleaning, and de-duping data, and can perform upload and update functions.","true","Services","USD",,,,,"false","false",,,,"Quantity","true",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","true",,,,,,,,,"false","Allow Refund",,"false","false","Professional Services",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
"01t1N00000EURKlQAP","Quality Assurance Engineer","SV-QAE","Quality Assurance Engineers test and support the activities prior to a successful Go-Live launch.","true","Services","USD",,,,,"false","false",,,,"Quantity","true",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","true",,,,,,,,,"false","Allow Refund",,"false","false","Professional Services",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
"01t1N00000EURKmQAP","TE Suite Perpetual Admin License","S-TE-ADM","Perpetual license for one (1) Time and Expense Administrator.","true","Software","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false",,"Click","false","false","false","List",,"true",,"false",,,,"List","Software",,,,,"Renewable","false",,,,,,"License",,,"false","Allow Refund",,"false","false","Software",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"20.0","30.0"
"01t1N00000EURKnQAP","Integration Specialist Engineer","SV-ISE","Our certified Integration Specialist Engineers bring a wealth of application expertise and integration experience to ensure the client's other systems are connected.","true","Services","USD",,,,,"false","false",,,,"Quantity","true",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","false",,,,,,,,,"false","Allow Refund",,"false","false","Professional Services",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
"01t1N00000EURKoQAP","Time and Expense Perpetual Suite","S-TE-PER","Time and Expense Perpetual Suite. Modified desc for testing.","true","Bundle","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,"Always",,,,"Required",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"true","true","true","false","false","true","false","Sections","Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","true",,,,,,"Time and Expense",,,"false","Allow Refund","Monthly","false","false","Software","Manage Time and Expenses","On-Premise",,"One-Time",,"SMB;Enterprise;Public Sector","false","<a href=""https://c.na35.content.force.com/servlet/servlet.FileDownload?file=01541000000sUQo"" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,"https://c.na35.content.force.com/servlet/servlet.FileDownload?file=01541000000sUQo",,"IRS-2020",,"5.0","10.0"
"01t1N00000EURKpQAP","TE Suite Perpetual Time and Expense License","S-TE-TEPL","Perpetual license for one (1) Time and Expense user.","true","Software","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false",,"Click","false","false","false","List",,"true",,"false",,,,"List","Software",,,,,"Renewable","false",,,,,,"License",,,"false","Allow Refund",,"false","false","Software",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"20.0","30.0"
"01t1N00000EURKqQAP","HP Proliant Server","H-SVR-HP","HP ProLiant rack and tower servers are industry's trusted multi-workload optimized servers, built to meet the business needs of today and tomorrow.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,"Always",,,,"Required",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","false","false","Sections","Click","false","false","true","List",,"true",,"false",,,,"List",,,,,,"Renewable","false",,,,,,,,,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURKrQAP","Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W)","INTEL E5-2667","Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,,,,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURKsQAP","4TB 7.2k RPM NLSAS 12Gps 3.5 in","HD 4TB","Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,,,,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURKtQAP","Intel X710 Dual Port 10Gb SFP","BET X710SFP","Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,,,,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURKuQAP","32GB RDIMM, 2133MT/s","MEM 32GB","32GB RDIMM, 2133 MT/s, Low Volt, Dual Rank, x4 Data Width","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,,,,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURKvQAP","Maxspace Rack Enclosure","MAXS-1014","Support and protect your IT equipment with rack enclosures designed for flexible deployments, usability and infrastructure scalability.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,"Always",,,,"Required",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","true","true","false","false","false","Tabs","Click","false","false","false","List","0151N000003mIIp","true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,,,,"false","Allow Refund",,"false","false","Hardware","Consolidate IT Assets",,,"One-Time","Application;Database;File;Web",,"false","<a href=""https://c.na30.content.force.com/servlet/servlet.FileDownload?file=01536000001jfEN"" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,"https://c.na30.content.force.com/servlet/servlet.FileDownload?file=01536000001jfEN",,,,"15.0","25.0"
"01t1N00000EURKwQAP","Roof Fan Tray 750mm - 120V","BSSA-4306","Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,,,,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURKxQAP","MaxShell 8U 600mmx1070mm","BMX-1050","MaxShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system.  Holds 8 rack units (U's) for a vertical storage rack.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,,"8.0",,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURKyQAP","PowerSlide R750 Rack Server","PS-R750","The PowerSlide server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,"Always",,,,"Allowed",,"PS-R-{1}{2}{3}{4}",,"false",,,"false",,,"1.0","false",,,,"false","false",,"true","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,"Server Slot","2.0",,"false","Allow Refund",,"true","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURKZQA5","Report Exporting Tools","S-TE-REPX","Module that enables the export of your Time and Expense data to Access, Excel, and JDBC Databases.","true","Software","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","false","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,"Fixed Price",,"12.0","Renewable","true",,,,,,,,,"false",,"Annual","false","false","Software",,,"Advance","Recurring",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"20.0","30.0"
"01t1N00000EURKzQAP","16GB RDIMM, 2133MT/s","MEM 16GB","16GB RDIMM, 2133MT/s, Dual Rank, x4 Data Width","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,,,,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURL0QAP","Sliding Shelf 200lbs","BSSA-4300","Occupying 1U of rack space, this sliding shelf provides ventilation, and easy access to severs.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,"Server Slot","1.0",,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURL1QAP","TE Suite Perpetual Finance and Reporting License","S-TE-FR","Perpetual license for one (1) Finance and Reporting user.","true","Software","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false",,"Click","false","false","false","List",,"true",,"false",,,,"List","Software",,,,,"Renewable","false",,,,,,"License",,,"false","Allow Refund",,"false","false","Software",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"20.0","30.0"
"01t1N00000EURL2QAP","MaxShell 6U 600mmx870mm","BMX-1051","MaxShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system.  Holds 6 rack units (U's) for a vertical storage rack.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,,"6.0",,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURL3QAP","Fixed Shelf 250lbs","BSSA-4302","Occupying 1U of rack space, this shelf provides ventilation, 4-post mounting and an adjustable mounting depth.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,"Server Slot","1.0",,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
"01t1N00000EURL4QAP","Black Toolless Airlow Mangment Blanking Panel","BSSA-4298","The 19-inch Black Modular Toolless Blanking Panel allows for quick and easy installation in any EIA-310-D compliant square hole mounting rail rack or enclosure.","true","Hardware","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,"Disabled",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","true","false","false","false","Tabs","Click","false","false","false","List",,"true",,"false",,,,"List","Hardware",,,,,"One-time","false",,,,,,"Server Slot","1.0",,"false","Allow Refund",,"false","false","Hardware",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"15.0","25.0"
